,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19
X1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2,1.5,,,,,,,,,,,,,,,,,,0
X3,1.4,1.6,,,,,,,,,,,,,,,,,0
X4,1.6,1.4,1.3,,,,,,,,,,,,,,,,0
X5,1.7,1.4,1.5,1.5,,,,,,,,,,,,,,,0
X6,1.3,1.4,1.4,1.5,1.4,,,,,,,,,,,,,,0
X7,1.6,1.3,1.4,1.4,1.5,1.8,,,,,,,,,,,,,0
X8,1.5,1.4,1.6,1.3,1.7,1.6,1.4,,,,,,,,,,,,0
X9,1.4,1.3,1.4,1.5,1.2,1.4,1.3,1.5,,,,,,,,,,,0
X10,2.3,2.4,2.5,2.3,2.6,2.7,2.8,2.7,3.1,,,,,,,,,,0
X11,2.9,2.8,2.9,3,2.9,3.1,2.9,3.1,3,1.5,,,,,,,,,0
X12,3.2,3.3,3.2,3.1,3.3,3.4,3.3,3.4,3.5,3.3,1.6,,,,,,,,0
X13,3.3,3.4,3.2,3.2,3.3,3.4,3.2,3.3,3.5,3.6,1.4,1.7,,,,,,,0
X14,3.4,3.2,3.5,3.4,3.7,3.5,3.6,3.3,3.5,3.6,1.5,1.8,0.5,,,,,,0
X15,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,1.7,1.6,0.3,0.5,,,,,0
X16,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,1.6,1.5,0.4,0.5,0.4,,,,0
X17,5.9,6.2,6.2,5.8,6.1,6,6.1,5.9,5.8,6,2.3,2.3,2.5,2.3,2.4,2.5,,,0
X18,6.1,6.3,6.2,5.8,6.1,6,6.1,5.9,5.8,6,3.1,2.7,2.6,2.3,2.5,2.6,3,,0
X19,6,6.1,6.2,5.8,6.1,6,6.1,5.9,5.8,6,3,2.9,2.7,2.4,2.5,2.8,3.1,0.4,0
